AudioSentence,Frase,Item,Condition,Group,Type
DIST19.wav,O ladrão catava o lixo.,43,DIST19,F,Filler
DIST20.wav,A mulher encontrava o ator.,44,DIST20,F,Filler
DIST21.wav,Destranca o armário de madeira.,45,DIST21,F,Filler
DIST22.wav,Eu evito sair de casa sem documento.,46,DIST22,F,Filler
DIST23.wav,Não gostei do assunto sobre o qual o professor falou.,47,DIST23,F,Filler
DIST24.wav,Marina brincava no parque.,48,DIST24,F,Filler
DIST25.wav,Marina tirou o quadro da parede.,49,DIST25,F,Filler
DIST26.wav,O gato arranhou a mão do vizinho.,50,DIST26,F,Filler
DIST27.wav,Apenas o diretor estava no evento.,51,DIST27,F,Filler
DIST28.wav,O empregado sujava a janela.,52,DIST28,F,Filler
DIST29.wav,O jogo de voleibol acabou em briga.,53,DIST29,F,Filler
DIST30.wav,A menina pulava corda com as amigas.,54,DIST30,F,Filler
DIST31.wav,O pastor protestante ajudou o estofador no altar.,55,DIST31,F,Filler
DIST32.wav,Renata jogava basquete com os amigos.,56,DIST32,F,Filler
